Data,Liga,Mandante,Visitante,Casa de apostas,Cotação mandante,Cotação empate,Cotação visitante,"Cotação mais de 2,5","Cotação menos de 2,5"
2026-07-23,Brasileirão Série A,Botafogo RJ,Vitoria,pixbet,1.8,3.58,4.84,1.78,1.99
2026-07-23,Brasileirão Série A,Santos,Chapecoense-SC,pixbet,1.41,4.51,7.0,1.66,2.14
2026-07-25,Brasileirão Série A,Athletico-PR,Internacional,pixbet,2.01,3.27,3.78,2.24,1.61
2026-07-25,Brasileirão Série A,Vasco,Mirassol,pixbet,2.0,3.37,3.68,2.01,1.75
2026-07-26,Brasileirão Série A,Bahia,Corinthians,pixbet,2.14,3.37,3.47,2.03,1.78
2026-07-26,Brasileirão Série A,Bragantino,Coritiba,pixbet,1.6,4.01,5.7,1.86,1.94
2026-07-26,Brasileirão Série A,Cruzeiro,Botafogo RJ,pixbet,1.8,3.62,4.52,1.97,1.84
2026-07-26,Brasileirão Série A,Flamengo RJ,Sao Paulo,pixbet,1.46,4.38,7.0,1.85,1.95
2026-07-26,Brasileirão Série A,Gremio,Fluminense,pixbet,2.61,3.32,2.71,1.93,1.87
2026-07-26,Brasileirão Série A,Palmeiras,America MG,pixbet,1.67,3.62,5.6,2.03,1.78
2026-07-26,Brasileirão Série A,Remo,Vitoria,pixbet,2.19,3.36,3.36,2.05,1.77
