Linha,Liga,Data,Mandante,Visitante,Situação,Detalhe
1,Brasileirão Série A,23/07/2026,Botafogo RJ,Vitoria,ANALISADA,5 mercados avaliados.
2,Brasileirão Série A,23/07/2026,Santos,Chapecoense-SC,ANALISADA,5 mercados avaliados.
3,Brasileirão Série A,25/07/2026,Athletico-PR,Internacional,ANALISADA,5 mercados avaliados.
4,Brasileirão Série A,25/07/2026,Vasco,Mirassol,ANALISADA,5 mercados avaliados.
5,Brasileirão Série A,26/07/2026,Bahia,Corinthians,ANALISADA,5 mercados avaliados.
6,Brasileirão Série A,26/07/2026,Bragantino,Coritiba,ANALISADA,5 mercados avaliados.
7,Brasileirão Série A,26/07/2026,Cruzeiro,Botafogo RJ,ANALISADA,5 mercados avaliados.
8,Brasileirão Série A,26/07/2026,Flamengo RJ,Sao Paulo,ANALISADA,5 mercados avaliados.
9,Brasileirão Série A,26/07/2026,Gremio,Fluminense,ANALISADA,5 mercados avaliados.
10,Brasileirão Série A,26/07/2026,Palmeiras,America MG,ANALISADA,5 mercados avaliados.
11,Brasileirão Série A,26/07/2026,Remo,Vitoria,ANALISADA,5 mercados avaliados.
