League,Entradas,Vitorias,Acerto,Lucro,ROI,OddMedia
Argentina - Primera Division,76,38,0.5,24.7832,0.32609473684210527,2.6407131578947367
China - Super League,65,38,0.5846153846153846,-0.124000000000001,-0.0019076923076923231,1.8295846153846154
Brasileirão Série A,64,25,0.390625,-5.347,-0.083546875,2.3758875
Bélgica - Pro League,58,28,0.4827586206896552,1.8191999999999993,0.0313655172413793,2.0946655172413795
Turquia - Super Lig,57,40,0.7017543859649122,15.137799999999999,0.2655754385964912,1.8790210526315791
Espanha - Segunda Divisão,55,29,0.5272727272727272,10.777599999999998,0.1959563636363636,2.3279454545454548
Espanha - La Liga,49,28,0.5714285714285714,18.5612,0.37879999999999997,2.4792
Japão - J1 League,43,18,0.4186046511627907,-1.0854000000000008,-0.025241860465116298,2.474613953488372
Portugal - Primeira Liga,42,26,0.6190476190476191,4.2854,0.10203333333333334,1.8484666666666665
Inglaterra - Premier League,38,17,0.4473684210526316,-1.5342000000000007,-0.04037368421052633,2.1823052631578945
Alemanha - Bundesliga,38,21,0.5526315789473685,5.9922,0.15768947368421055,2.1077736842105264
Itália - Série B,37,18,0.4864864864864865,10.2066,0.27585405405405405,2.641762162162162
EUA - MLS,36,15,0.4166666666666667,-2.2880000000000003,-0.06355555555555556,2.239027777777778
Inglaterra - Championship,35,15,0.42857142857142855,0.5347999999999986,0.01527999999999996,2.43152
México - Liga MX,31,13,0.41935483870967744,-3.040600000000001,-0.09808387096774196,2.2075290322580647
Holanda - Eredivisie,29,15,0.5172413793103449,10.3862,0.3581448275862069,2.5926068965517244
Finlândia - Veikkausliiga,28,14,0.5,-0.05040000000000089,-0.0018000000000000318,2.0965
França - Ligue 1,27,17,0.6296296296296297,8.319199999999999,0.30811851851851846,2.0721555555555558
Noruega - Eliteserien,20,11,0.55,3.2848,0.16424,2.28781
Grécia - Super League,18,12,0.6666666666666666,1.1589999999999996,0.06438888888888887,1.7395
Alemanha - 2. Bundesliga,17,6,0.35294117647058826,-1.5257999999999998,-0.08975294117647058,2.602188235294118
Irlanda - Premier Division,12,6,0.5,-0.8084000000000007,-0.06736666666666673,1.993483333333333
Suécia - Allsvenskan,12,8,0.6666666666666666,4.3758,0.36465,1.9273333333333333
Itália - Série A,6,3,0.5,-0.07100000000000017,-0.011833333333333362,2.3536333333333332
