Level,Code,Market,Side,ProbBin,Sample,Wins,MeanPred,HitRate,Brier,CalibrationGap
LIGA,ARG,1X2,A,0.05,38,7,0.08564237636597041,0.18421052631578946,0.16197120245608324,0.09856814994981905
LIGA,ARG,1X2,A,0.1,111,21,0.13019037266233166,0.1891891891891892,0.15634785195740267,0.05899881652685754
LIGA,ARG,1X2,A,0.15,407,67,0.17839860583145492,0.16461916461916462,0.13673172987288582,0.0137794412122903
LIGA,ARG,1X2,A,0.2,614,146,0.22439438024530678,0.23778501628664495,0.18093392398900424,0.013390636041338166
LIGA,ARG,1X2,A,0.25,286,65,0.27151090109598425,0.22727272727272727,0.177910658301672,0.04423817382325698
LIGA,ARG,1X2,A,0.3,298,91,0.3289413943703903,0.3053691275167785,0.21223248493614033,0.0235722668536118
LIGA,ARG,1X2,A,0.35,218,60,0.3696840000690152,0.27522935779816515,0.20856358698986757,0.09445464227085004
LIGA,ARG,1X2,A,0.4,127,42,0.4246299045089327,0.33070866141732286,0.23106367306137215,0.09392124309160982
LIGA,ARG,1X2,A,0.45,66,28,0.474771845352974,0.42424242424242425,0.24657541062670618,0.050529421110549755
LIGA,ARG,1X2,A,0.5,42,23,0.5241979141892253,0.5476190476190477,0.24952554118657522,0.023421133429822327
LIGA,ARG,1X2,A,0.55,11,7,0.5723589457957636,0.6363636363636364,0.24638693988097027,0.06400469056787272
LIGA,ARG,1X2,A,0.6,8,2,0.6210535307144752,0.25,0.32863219679248523,0.3710535307144752
LIGA,ARG,1X2,A,0.65,2,2,0.6569451343459691,1.0,0.11771457124668049,0.34305486565403087
LIGA,ARG,1X2,A,0.7,1,1,0.7129280090875625,1.0,0.08241032796643061,0.2870719909124375
LIGA,ARG,1X2,D,0.1,3,1,0.12910205052048687,0.3333333333333333,0.27521565378105745,0.20423128281284644
LIGA,ARG,1X2,D,0.15,54,5,0.1820384536758373,0.09259259259259259,0.0921073813260123,0.0894458610832447
LIGA,ARG,1X2,D,0.2,123,40,0.22900732765495602,0.3252032520325203,0.2253922282284772,0.0961959243775643
LIGA,ARG,1X2,D,0.25,661,203,0.28178602182720947,0.3071104387291982,0.21319493334492512,0.025324416901988722
LIGA,ARG,1X2,D,0.3,1162,383,0.3237533925354845,0.32960413080895007,0.22092590022604802,0.00585073827346555
LIGA,ARG,1X2,D,0.35,226,85,0.3609873249960668,0.37610619469026546,0.2349143392155438,0.015118869694198678
LIGA,ARG,1X2,H,0.1,7,2,0.13648388451625457,0.2857142857142857,0.22945740231161063,0.14923040119803113
LIGA,ARG,1X2,H,0.15,37,7,0.18564294054001274,0.1891891891891892,0.15060638955435915,0.0035462486491764644
LIGA,ARG,1X2,H,0.2,127,43,0.2296373788146377,0.33858267716535434,0.23532296146306772,0.10894529835071665
