Code,League,Season,Date,Home,Away,MatchID,Market,Side,AvgOdd,MarketP,RawP,CalP,Rel,N,Win,BestOdd,ExecAvg,ExecBest,WeekID,Year,Month,logit_market,logit_raw,diff,absdiff,ratio,logN,Code_cat,Market_cat,Side_cat,Pred,AvgNoHaircut,PSOdd,B365Odd,Pinnacle -2%,Bet365 -2%,EffectiveOdd,EV,Profit
D2,Alemanha - 2. Bundesliga,2022,2022-07-16,Greuther Furth,Holstein Kiel,D2|2022-07-16|Greuther Furth|Holstein Kiel,OU25,U25,2.08,0.4540682414698162,0.2705226741192639,0.3503994525840456,0.1,72,0,2.17,2.0384,2.1266,2022-28,2022,7,-0.1842464852035391,-0.991972367988273,-0.1835455673505523,0.1835455673505523,0.5944661689541504,4.290459441148391,5,1,4,0.4877220965449906,2.08,2.15,2.1,2.1069999999999998,2.058,2.058,0.003732074689590581,-1.0
D2,Alemanha - 2. Bundesliga,2022,2022-07-23,Heidenheim,Braunschweig,D2|2022-07-23|Heidenheim|Braunschweig,OU25,O25,1.94,0.4881266490765172,0.484076852831014,0.563303997366664,0.1254365116050783,261,1,2.06,1.9012,2.0188,2022-29,2022,7,-0.047502333985003,-0.0637141338416978,-0.0040497962455032,0.0040497962455032,0.9896758922151608,5.568344503761097,5,1,3,0.5213704626323443,1.94,2.04,2.0,1.9992,1.96,1.96,0.021886106759394952,0.96
D2,Alemanha - 2. Bundesliga,2022,2022-07-23,Nurnberg,Greuther Furth,D2|2022-07-23|Nurnberg|Greuther Furth,OU25,U25,2.18,0.4322916666666666,0.2470411419900207,0.32507460541917,0.2820935909559593,693,1,2.28,2.1364,2.2344,2022-29,2022,7,-0.2725072744325462,-1.1144556993517762,-0.1852505246766458,0.1852505246766458,0.5701497651466966,6.542471960506805,5,1,4,0.4764518494000154,2.18,2.28,2.2,2.2344,2.156,2.156,0.02723018730643334,1.1560000000000001
B1,Bélgica - Pro League,2022,2022-07-24,Anderlecht,Oostende,B1|2022-07-24|Anderlecht|Oostende,OU25,O25,1.53,0.6184538653366584,0.461304666618354,0.5377614290131537,0.2314771054881984,253,0,1.58,1.4994,1.5484,2022-29,2022,7,0.4829908247725467,-0.1550914601626194,-0.1571491987183043,0.1571491987183043,0.7446957593325307,5.537334267018537,1,1,3,0.6738789063571081,1.53,1.56,1.53,1.5288,1.4994,1.4994,0.010414032191848,-1.0
E1,Inglaterra - Championship,2022,2022-07-30,Rotherham,Swansea,E1|2022-07-30|Rotherham|Swansea,1X2,A,3.0,0.3171146405218372,0.4987223668928445,0.4296266642673366,0.3115237008271286,255,0,3.19,2.94,3.1262,2022-30,2022,7,-0.7670636464627297,-0.0051105435515443,0.1816077263710073,0.1816077263710073,1.56774415058275,5.545177444479562,7,0,0,0.3644062696746073,3.0,3.19,3.0,3.1262,2.94,2.94,0.07135443284334553,-1.0
B1,Bélgica - Pro League,2022,2022-07-31,Genk,Standard,B1|2022-07-31|Genk|Standard,OU25,O25,1.52,0.6209476309226933,0.5039201345029319,0.5527372025895817,0.4620068492020531,300,1,1.56,1.4896,1.5288,2022-30,2022,7,0.4935723756184316,0.0156808593168511,-0.1170274964197614,0.1170274964197614,0.8102292049176855,5.707110264748875,1,1,3,0.6672443437018932,1.52,1.53,1.53,1.4994,1.4994,1.4994,0.0004661689466187724,0.49940000000000007
E1,Inglaterra - Championship,2022,2022-07-31,Sunderland,Coventry,E1|2022-07-31|Sunderland|Coventry,1X2,A,2.79,0.340942220642926,0.5061426681467855,0.440400614347278,0.1,183,0,2.92,2.7342,2.8616,2022-30,2022,7,-0.659098185986977,0.0245719088454399,0.1652004475038595,0.1652004475038595,1.4801993950765333,5.214935757608986,7,0,0,0.383701973169193,2.79,2.92,2.8,2.8615999999999997,2.7439999999999998,2.7439999999999998,0.05287821437626561,-1.0
E0,Inglaterra - Premier League,2022,2022-08-05,Crystal Palace,Arsenal,E0|2022-08-05|Crystal Palace|Arsenal,1X2,A,1.85,0.519775093631165,0.2890214123801246,0.2810664930856228,0.4916841953065545,255,1,1.91,1.813,1.8718,2022-31,2022,8,0.0791416566678896,-0.9001415368360782,-0.2307536812510404,0.2307536812510404,0.5549831701145481,5.545177444479562,6,0,0,0.6079565593727547,1.85,1.88,1.8,1.8423999999999998,1.764,1.764,0.07243537073353945,0.764
E1,Inglaterra - Championship,2022,2022-08-06,Bristol City,Sunderland,E1|2022-08-06|Bristol City|Sunderland,OU25,O25,2.08,0.4569190600522194,0.6716888871320187,0.6366777466942074,0.1463057134224123,119,1,2.24,2.0384,2.1952000000000003,2022-31,2022,8,-0.1727521057778036,0.7158335940745458,0.2147698270797993,0.2147698270797993,1.4668288475597016,4.787491742782046,7,1,3,0.5046297875664378,2.08,2.06,2.1,2.0188,2.058,2.058,0.038528102811729026,1.0579999999999998
F1,França - Ligue 1,2022,2022-08-06,Clermont,Paris SG,F1|2022-08-06|Clermont|Paris SG,OU25,U25,2.87,0.331002331002331,0.1937421384233849,0.3127540109065124,0.1027999999999999,257,0,3.0,2.8126,2.94,2022-31,2022,8,-0.7036551581583604,-1.4258755273242152,-0.1372601925789461,0.1372601925789461,0.5835565606978362,5.552959584921617,8,1,4,0.3569602374558966,2.87,2.85,3.0,2.793,2.94,2.94,0.04946309812033611,-1.0
F1,França - Ligue 1,2022,2022-08-07,Marseille,Reims,F1|2022-08-07|Marseille|Reims,OU25,O25,1.97,0.4856396866840731,0.4510462582598309,0.503146496917995,0.5226188836404,347,1,2.06,1.9306,2.0188,2022-31,2022,8,-0.0574570550247873,-0.19644427638762,-0.0345934284242421,0.0345934284242421,0.9268587634790472,5.8522024797744745,8,1,3,0.5234402481494006,1.97,2.03,2.03,1.9893999999999998,1.9893999999999998,1.9893999999999998,0.041332029668417425,0.9893999999999998
D1,Alemanha - Bundesliga,2022,2022-08-13,Hoffenheim,Bochum,D1|2022-08-13|Hoffenheim|Bochum,1X2,H,1.58,0.6061385372213112,0.357859337309163,0.4007883686690804,0.2741987619360718,182,1,1.68,1.5484,1.6464,2022-32,2022,8,0.4311093390651873,-0.5846673838093338,-0.2482791999121482,0.2482791999121482,0.589419572914901,5.209486152841421,4,0,2,0.7000393458014913,1.58,1.6,1.55,1.568,1.519,1.519,0.0633597662724652,0.5189999999999999
E1,Inglaterra - Championship,2022,2022-08-13,Blackpool,Swansea,E1|2022-08-13|Blackpool|Swansea,OU25,O25,2.06,0.4607329842931937,0.6621835302040319,0.6366777466942074,0.1463057134224123,119,0,2.24,2.0188,2.1952000000000003,2022-32,2022,8,-0.1573921737514292,0.6730399942300677,0.2014505459108381,0.2014505459108381,1.4341265465747082,4.787491742782046,7,1,3,0.5176588364326872,2.06,2.11,2.1,2.0677999999999996,2.058,2.058,0.06534188537847019,-1.0
B1,Bélgica - Pro League,2022,2022-08-14,St Truiden,Anderlecht,B1|2022-08-14|St Truiden|Anderlecht,1X2,A,2.23,0.4226256794959735,0.3955846637159333,0.342768969074204,0.2669880436942178,188,1,2.32,2.1854,2.2736,2022-32,2022,8,-0.3120039230533676,-0.4238967726229229,-0.0270410157800402,0.0270410157800402,0.9338070916442006,5.241747015059643,1,0,0,0.4737336770448448,2.23,2.32,2.3,2.2735999999999996,2.254,2.254,0.0677957080590803,1.254
SP1,Espanha - La Liga,2022,2022-08-14,Cadiz,Sociedad,SP1|2022-08-14|Cadiz|Sociedad,1X2,D,3.07,0.3121732636295743,0.3045474882805755,0.3019883199807511,0.8652255119729537,561,0,3.18,3.0086,3.1164,2022-32,2022,8,-0.7899786037305504,-0.8257356997582624,-0.0076257753489988,0.0076257753489988,0.9724568590273992,6.331501849893691,19,0,1,0.3558705020927027,3.07,3.08,3.0,3.0184,2.94,2.94,0.04625927615254599,-1.0
B1,Bélgica - Pro League,2022,2022-08-20,Oostende,St Truiden,B1|2022-08-20|Oostende|St Truiden,1X2,H,2.89,0.3254051132105606,0.1960076993434936,0.2173245968450866,0.123725130637656,114,0,3.1,2.8322000000000003,3.038,2022-33,2022,8,-0.729041434703226,-1.411435752011487,-0.129397413867067,0.129397413867067,0.6005043775679183,4.74493212836325,1,0,2,0.3770000636040082,2.89,3.03,2.87,2.9694,2.8126,2.8126,0.060350378892633394,-1.0
E1,Inglaterra - Championship,2022,2022-08-20,Reading,Middlesbrough,E1|2022-08-20|Reading|Middlesbrough,OU25,O25,1.96,0.4842105263157894,0.6919041078588916,0.6366777466942074,0.1463057134224123,119,0,2.06,1.9208,2.0188,2022-33,2022,8,-0.0631789016215318,0.8090363009189693,0.2076935815431021,0.2076935815431021,1.4259874226400846,4.787491742782046,7,1,3,0.5404444218636413,1.96,2.04,2.02,1.9992,1.9796,1.9796,0.06986377752126427,-1.0
