Market,Side,MPBin,Sample,Wins,MarketMean,EmpiricalHit,AverageOdd,CalibratedMarketP,Gap,Reliability,Level,Code
1X2,A,0.0,26,0,0.021613394259778963,0.0,44.88730769230769,0.018420506471402528,-0.021613394259778963,0.1,GLOBAL,
1X2,A,0.025,308,8,0.040558021352602995,0.025974025974025976,24.065162337662336,0.030750443674433296,-0.01458399537857702,0.3382096814937321,GLOBAL,
1X2,A,0.05,761,37,0.06313690929627962,0.04862023653088042,15.21299605781866,0.05101046805097908,-0.014516672765399197,0.8361751252659501,GLOBAL,
1X2,A,0.075,1065,80,0.08829426081328907,0.07511737089201878,10.797164319248825,0.07674414742550893,-0.013176889921270293,0.8901925839894143,GLOBAL,
1X2,A,0.1,1554,153,0.11316076605372903,0.09845559845559845,8.388153153153153,0.09975006743430714,-0.014705167598130578,0.8774569366822452,GLOBAL,
1X2,A,0.125,1980,244,0.1378959708887894,0.12323232323232323,6.868914141414142,0.12426497447573633,-0.014663647656466175,0.8778029361961152,GLOBAL,
1X2,A,0.15,2525,388,0.1631995612053949,0.15366336633663366,5.794554455445544,0.15419810623581653,-0.009536194868761227,0.9205317094269898,GLOBAL,
1X2,A,0.175,2987,527,0.1875717139073327,0.17643120187479075,5.0385135587546035,0.1769639008881415,-0.01114051203254196,0.907162399728817,GLOBAL,
1X2,A,0.2,3225,595,0.212692957469209,0.18449612403100776,4.440458914728682,0.18574931662826114,-0.02819683343820123,0.7650263880149897,GLOBAL,
1X2,A,0.225,3622,829,0.2377109965587525,0.22887907233572613,3.9713003865267806,0.2292302888345209,-0.008831924223026366,0.9264006314747802,GLOBAL,
1X2,A,0.25,3777,881,0.26250027863432296,0.2332539052157797,3.5954778925072812,0.2343710317787493,-0.029246373418543248,0.7562802215121396,GLOBAL,
1X2,A,0.275,3884,1029,0.28743151390041327,0.2649330587023687,3.282152420185376,0.26576963983268764,-0.022498455198044554,0.8125128733496287,GLOBAL,
1X2,A,0.3,3417,1056,0.31225310648621674,0.3090430201931519,3.02171202809482,0.30917801120631694,-0.003210086293064851,0.9732492808911263,GLOBAL,
1X2,A,0.325,2953,1038,0.3371134520953038,0.351506942092787,2.7990958347443278,0.35081115624050774,0.014393489997483189,0.8800542500209734,GLOBAL,
1X2,A,0.35,2439,877,0.36241654730954753,0.3595735957359574,2.6033456334563345,0.3597383090368606,-0.002842951573590158,0.9763087368867487,GLOBAL,
1X2,A,0.375,2101,802,0.3872567997344606,0.381722989052832,2.436891956211328,0.38209174587302047,-0.005533810681628615,0.9538849109864282,GLOBAL,
1X2,A,0.4,1745,730,0.41185908278242117,0.4183381088825215,2.2918968481375357,0.4178252572123288,0.006479026100100316,0.9460081158324973,GLOBAL,
1X2,A,0.425,1464,670,0.4367920359097575,0.4576502732240437,2.1628142076502734,0.45571177533238144,0.02085823731428621,0.8261813557142816,GLOBAL,
1X2,A,0.45,1164,529,0.46198826154209527,0.45446735395189003,2.0451202749140895,0.4553259050466623,-0.007520907590205239,0.937325770081623,GLOBAL,
1X2,A,0.475,952,496,0.4869579195796208,0.5210084033613446,1.9405987394957984,0.516373582519912,0.03405048378172376,0.7162459684856353,GLOBAL,
1X2,A,0.5,757,399,0.5120298518783165,0.5270805812417437,1.8468824306472922,0.5245914859776709,0.015050729363427218,0.8275687278321416,GLOBAL,
1X2,A,0.525,674,373,0.5375140845565742,0.5534124629080118,1.7589169139465874,0.5505183406352987,0.015898378351437592,0.730880135324282,GLOBAL,
1X2,A,0.55,641,352,0.5621729610440555,0.5491419656786272,1.6834009360374413,0.5516130773155604,-0.013030995365428288,0.7142409580287549,GLOBAL,
1X2,A,0.575,493,304,0.5876007638009562,0.6166328600405679,1.611217038539554,0.6098602092848264,0.029032096239611782,0.46715808910282697,GLOBAL,
1X2,A,0.6,393,254,0.611657548470716,0.6463104325699746,1.5459796437659035,0.6367378126530523,0.034652884099258596,0.34938975571866016,GLOBAL,
1X2,A,0.625,305,197,0.6374418599771966,0.6459016393442623,1.485672131147541,0.6431127010913834,0.008459779367065656,0.3543725759692185,GLOBAL,
1X2,A,0.65,332,241,0.661990775843299,0.7259036144578314,1.4286144578313251,0.7060137269221886,0.06391283861453234,0.19396809979140897,GLOBAL,
1X2,A,0.675,266,195,0.6873875003363443,0.7330827067669173,1.3769924812030074,0.7166060698328164,0.04569520643057301,0.20588619884862064,GLOBAL,
1X2,A,0.7,195,159,0.7118074317903793,0.8153846153846154,1.331076923076923,0.770351057300165,0.10357718359423607,0.1,GLOBAL,
1X2,A,0.725,163,123,0.736418469175357,0.754601226993865,1.2866257668711656,0.7458874452917046,0.018182757818507977,0.17287719245399163,GLOBAL,
1X2,A,0.75,120,103,0.7611683773411672,0.8583333333333333,1.2449166666666664,0.8043528022265743,0.09716495599216612,0.1,GLOBAL,
1X2,A,0.775,91,77,0.7860091850264891,0.8461538461538461,1.2038461538461538,0.8087194097675243,0.06014466112735706,0.1,GLOBAL,
1X2,A,0.8,52,42,0.8114108834701562,0.8076923076923077,1.1711538461538462,0.8104536263392249,-0.0037185757778485096,0.1,GLOBAL,
1X2,A,0.825,30,26,0.835489211921086,0.8666666666666667,1.1376666666666666,0.8406854543786829,0.031177454745580646,0.1,GLOBAL,
1X2,A,0.85,17,16,0.8601903207923385,0.9411764705882353,1.0988235294117648,0.868434419873358,0.0809861497958968,0.1,GLOBAL,
1X2,A,0.875,10,8,0.8874884762830556,0.8,1.0610000000000002,0.8820204465153646,-0.08748847628305556,0.1,GLOBAL,
1X2,A,0.9,4,4,0.9091484034767547,1.0,1.0350000000000001,0.9115081852046312,0.09085159652324526,0.1,GLOBAL,
1X2,A,0.925,2,2,0.9289306132306336,1.0,1.0150000000000001,0.9298657367407569,0.07106938676936636,0.1,GLOBAL,
1X2,D,0.025,3,0,0.047422570772449,0.0,20.12666666666667,0.04649271644357745,-0.047422570772449,0.1,GLOBAL,
