Market,Side,MarketBand,DifferenceBand,TotalBets,TotalProfit,PositiveSeasons,SeasonsObserved,weighted_wins,HistoricalROI,HistoricalHitRate,RecentSeasonROI,RecentSeasonBets,ApprovalSeason
OU,O25,0.5,-0.02,154,31.64139999999999,4,4,97,0.2054636363636363,0.6298701298701299,0.25141739130434776,46.0,2022
OU,O25,0.575,-0.02,126,12.042799999999993,3,4,84,0.09557777777777772,0.6666666666666666,0.11783225806451607,31.0,2022
OU,U25,0.55,-0.06,124,9.613199999999997,3,4,77,0.07752580645161287,0.6209677419354839,0.07228333333333332,36.0,2022
OU,U25,0.575,-0.04,137,5.178399999999994,3,4,86,0.037798540145985354,0.6277372262773723,0.08011891891891888,37.0,2022
OU,U25,0.575,-0.02,152,11.248399999999993,3,4,99,0.07400263157894732,0.6513157894736842,0.18327999999999994,35.0,2022
OU,U25,0.575,0.04,133,7.806399999999994,3,4,85,0.058694736842105216,0.6390977443609023,0.10840512820512817,39.0,2022
1X2,H,0.475,-0.06,127,29.8784,4,4,79,0.23526299212598425,0.6220472440944882,0.16321739130434781,46.0,2023
OU,O25,0.5,-0.02,158,28.36659999999999,3,4,97,0.17953544303797464,0.6139240506329114,-0.013068292682926858,41.0,2023
OU,U25,0.55,-0.06,126,16.5214,4,4,82,0.13112222222222222,0.6507936507936508,0.10363076923076922,39.0,2023
OU,U25,0.55,0.06,132,8.218399999999997,3,4,81,0.06226060606060604,0.6136363636363636,-0.015232432432432446,37.0,2023
OU,U25,0.575,0.0,153,8.484399999999992,3,4,98,0.05545359477124178,0.6405228758169934,0.09487777777777773,36.0,2023
OU,U25,0.5,0.08,130,25.761199999999995,4,4,81,0.1981630769230769,0.6230769230769231,0.09514999999999996,28.0,2024
OU,U25,0.525,0.06,124,13.7782,4,4,76,0.11111451612903225,0.6129032258064516,0.15091200000000002,25.0,2024
OU,U25,0.55,-0.06,134,13.588,4,4,85,0.10140298507462686,0.6343283582089553,0.10929677419354836,31.0,2024
OU,U25,0.55,-0.04,131,10.707999999999998,3,4,82,0.08174045801526716,0.6259541984732825,-0.016733333333333354,33.0,2024
OU,U25,0.55,0.06,127,14.413999999999996,3,4,82,0.11349606299212596,0.6456692913385826,0.3366347826086956,23.0,2024
OU,U25,0.575,0.0,130,3.3583999999999943,3,4,81,0.02583384615384611,0.6230769230769231,0.0017777777777777423,18.0,2024
OU,U25,0.575,0.04,145,10.643599999999992,3,4,94,0.07340413793103442,0.6482758620689655,0.045481818181818116,22.0,2024
1X2,H,0.525,-0.06,124,28.537,4,4,85,0.23013709677419353,0.6854838709677419,0.23783333333333334,42.0,2025
OU,O25,0.525,0.02,135,19.1932,3,4,85,0.14217185185185185,0.6296296296296297,0.2842780487804878,41.0,2025
OU,U25,0.55,-0.06,129,11.149799999999999,4,4,81,0.08643255813953488,0.627906976744186,0.048599999999999983,23.0,2025
OU,U25,0.55,-0.04,139,11.077199999999998,3,4,87,0.07969208633093523,0.6258992805755396,0.1117235294117647,34.0,2025
OU,U25,0.55,0.0,161,13.204799999999995,3,4,101,0.08201739130434779,0.6273291925465838,0.15885,40.0,2025
OU,U25,0.55,0.02,157,14.333399999999996,3,4,99,0.09129554140127386,0.6305732484076433,0.1876052631578947,38.0,2025
OU,U25,0.575,0.04,141,3.7753999999999928,3,4,88,0.026775886524822642,0.624113475177305,0.033751515151515095,33.0,2025
