Market,Side,MarketBand,DifferenceBand,Season,Bets,Wins,ProfitUnits,HitRate,AverageOdd,ROI
1X2,A,0.0,-0.02,2018,1,0,-1.0,0.0,69.58,-1.0
1X2,A,0.0,-0.02,2019,1,0,-1.0,0.0,56.839999999999996,-1.0
1X2,A,0.0,-0.02,2022,1,0,-1.0,0.0,98.98,-1.0
1X2,A,0.0,0.0,2015,2,0,-2.0,0.0,125.44,-1.0
1X2,A,0.0,0.0,2016,1,0,-1.0,0.0,60.56399999999999,-1.0
1X2,A,0.0,0.0,2017,1,0,-1.0,0.0,151.9,-1.0
1X2,A,0.0,0.0,2018,2,0,-2.0,0.0,67.13,-1.0
1X2,A,0.0,0.0,2019,1,0,-1.0,0.0,63.699999999999996,-1.0
1X2,A,0.0,0.0,2021,1,0,-1.0,0.0,53.9,-1.0
1X2,A,0.0,0.0,2023,1,0,-1.0,0.0,54.879999999999995,-1.0
1X2,A,0.0,0.0,2024,1,0,-1.0,0.0,69.58,-1.0
1X2,A,0.0,0.02,2014,2,0,-2.0,0.0,65.66,-1.0
1X2,A,0.0,0.02,2016,1,0,-1.0,0.0,59.78,-1.0
1X2,A,0.0,0.02,2018,2,0,-2.0,0.0,56.839999999999996,-1.0
1X2,A,0.0,0.02,2019,1,0,-1.0,0.0,58.8,-1.0
1X2,A,0.0,0.02,2021,1,0,-1.0,0.0,78.4,-1.0
1X2,A,0.0,0.02,2022,2,0,-2.0,0.0,66.15,-1.0
1X2,A,0.0,0.02,2023,2,0,-2.0,0.0,65.0132,-1.0
1X2,A,0.0,0.04,2021,1,0,-1.0,0.0,73.5,-1.0
1X2,A,0.0,0.04,2022,5,0,-5.0,0.0,117.796,-1.0
1X2,A,0.0,0.04,2023,1,0,-1.0,0.0,69.58,-1.0
1X2,A,0.0,0.04,2024,2,0,-2.0,0.0,71.53999999999999,-1.0
1X2,A,0.0,0.06,2022,2,0,-2.0,0.0,128.38,-1.0
1X2,A,0.0,0.12,2022,1,0,-1.0,0.0,108.78,-1.0
1X2,A,0.025,-0.04,2019,3,0,-3.0,0.0,34.3,-1.0
1X2,A,0.025,-0.04,2020,1,0,-1.0,0.0,24.5,-1.0
1X2,A,0.025,-0.04,2025,2,0,-2.0,0.0,25.479999999999997,-1.0
1X2,A,0.025,-0.02,2012,1,0,-1.0,0.0,26.116999999999997,-1.0
1X2,A,0.025,-0.02,2013,4,0,-4.0,0.0,38.5924,-1.0
1X2,A,0.025,-0.02,2014,4,0,-4.0,0.0,40.61855,-1.0
1X2,A,0.025,-0.02,2015,4,0,-4.0,0.0,46.795,-1.0
1X2,A,0.025,-0.02,2016,4,0,-4.0,0.0,29.40245,-1.0
1X2,A,0.025,-0.02,2017,8,0,-8.0,0.0,35.1575,-1.0
1X2,A,0.025,-0.02,2018,7,0,-7.0,0.0,38.955,-1.0
1X2,A,0.025,-0.02,2019,4,0,-4.0,0.0,33.074999999999996,-1.0
1X2,A,0.025,-0.02,2020,2,0,-2.0,0.0,29.89,-1.0
1X2,A,0.025,-0.02,2021,6,0,-6.0,0.0,31.275066666666664,-1.0
1X2,A,0.025,-0.02,2022,4,0,-4.0,0.0,26.46,-1.0
1X2,A,0.025,-0.02,2023,3,0,-3.0,0.0,32.01333333333333,-1.0
1X2,A,0.025,-0.02,2024,5,0,-5.0,0.0,27.253800000000002,-1.0
1X2,A,0.025,-0.02,2025,3,0,-3.0,0.0,27.113333333333333,-1.0
1X2,A,0.025,0.0,2012,1,0,-1.0,0.0,30.38,-1.0
1X2,A,0.025,0.0,2013,5,0,-5.0,0.0,47.161519999999996,-1.0
1X2,A,0.025,0.0,2014,6,1,27.32,0.16666666666666666,50.664366666666666,4.553333333333334
1X2,A,0.025,0.0,2015,15,0,-15.0,0.0,31.178373333333333,-1.0
1X2,A,0.025,0.0,2016,16,0,-16.0,0.0,33.7432375,-1.0
1X2,A,0.025,0.0,2017,20,0,-20.0,0.0,35.55195,-1.0
1X2,A,0.025,0.0,2018,12,0,-12.0,0.0,35.49968333333333,-1.0
1X2,A,0.025,0.0,2019,10,1,13.52,0.1,29.60482,1.3519999999999999
1X2,A,0.025,0.0,2020,5,0,-5.0,0.0,42.38696,-1.0
1X2,A,0.025,0.0,2021,6,1,16.54,0.16666666666666666,36.586666666666666,2.7566666666666664
1X2,A,0.025,0.0,2022,11,0,-11.0,0.0,26.836854545454546,-1.0
1X2,A,0.025,0.0,2023,12,0,-12.0,0.0,32.6095,-1.0
1X2,A,0.025,0.0,2024,9,0,-9.0,0.0,26.35111111111111,-1.0
1X2,A,0.025,0.0,2025,5,0,-5.0,0.0,30.772,-1.0
1X2,A,0.025,0.02,2012,3,0,-3.0,0.0,33.32,-1.0
1X2,A,0.025,0.02,2013,17,1,8.48,0.058823529411764705,37.11721176470588,0.4988235294117647
1X2,A,0.025,0.02,2014,13,0,-13.0,0.0,37.918461538461536,-1.0
1X2,A,0.025,0.02,2015,19,0,-19.0,0.0,33.663515789473685,-1.0
1X2,A,0.025,0.02,2016,15,0,-15.0,0.0,35.42373333333333,-1.0
1X2,A,0.025,0.02,2017,27,0,-27.0,0.0,34.97982962962963,-1.0
1X2,A,0.025,0.02,2018,20,1,4.5,0.05,31.6834,0.225
1X2,A,0.025,0.02,2019,10,0,-10.0,0.0,34.692,-1.0
1X2,A,0.025,0.02,2020,6,0,-6.0,0.0,34.56296666666666,-1.0
1X2,A,0.025,0.02,2021,7,1,21.419999999999998,0.14285714285714285,30.3324,3.0599999999999996
1X2,A,0.025,0.02,2022,14,0,-14.0,0.0,33.9101,-1.0
1X2,A,0.025,0.02,2023,14,1,14.419999999999998,0.07142857142857142,34.3602,1.0299999999999998
1X2,A,0.025,0.02,2024,11,0,-11.0,0.0,25.47109090909091,-1.0
1X2,A,0.025,0.02,2025,4,0,-4.0,0.0,27.195,-1.0
1X2,A,0.025,0.04,2012,4,0,-4.0,0.0,30.134999999999998,-1.0
1X2,A,0.025,0.04,2013,5,0,-5.0,0.0,40.78171999999999,-1.0
1X2,A,0.025,0.04,2014,8,0,-8.0,0.0,40.22165,-1.0
1X2,A,0.025,0.04,2015,12,1,13.48,0.08333333333333333,38.2347,1.1233333333333333
1X2,A,0.025,0.04,2016,13,0,-13.0,0.0,33.486599999999996,-1.0
1X2,A,0.025,0.04,2017,15,0,-15.0,0.0,30.649173333333334,-1.0
1X2,A,0.025,0.04,2018,12,1,14.46,0.08333333333333333,34.42495,1.205
1X2,A,0.025,0.04,2019,12,1,16.419999999999998,0.08333333333333333,33.39921666666667,1.3683333333333332
1X2,A,0.025,0.04,2020,2,0,-2.0,0.0,37.3772,-1.0
1X2,A,0.025,0.04,2021,6,0,-6.0,0.0,30.9288,-1.0
1X2,A,0.025,0.04,2022,12,0,-12.0,0.0,28.97778333333333,-1.0
1X2,A,0.025,0.04,2023,10,0,-10.0,0.0,32.928,-1.0
1X2,A,0.025,0.04,2024,7,0,-7.0,0.0,28.6776,-1.0
1X2,A,0.025,0.04,2025,2,0,-2.0,0.0,28.42,-1.0
1X2,A,0.025,0.06,2012,1,0,-1.0,0.0,35.28,-1.0
1X2,A,0.025,0.06,2013,5,0,-5.0,0.0,37.08712,-1.0
1X2,A,0.025,0.06,2014,5,0,-5.0,0.0,33.712,-1.0
1X2,A,0.025,0.06,2015,7,0,-7.0,0.0,36.6898,-1.0
1X2,A,0.025,0.06,2016,7,0,-7.0,0.0,29.9698,-1.0
1X2,A,0.025,0.06,2017,14,2,55.433,0.14285714285714285,31.678499999999996,3.9595
1X2,A,0.025,0.06,2018,8,0,-8.0,0.0,30.93125,-1.0
1X2,A,0.025,0.06,2019,11,0,-11.0,0.0,30.023636363636363,-1.0
